Time (s),Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right
242,283.07142857142856,233.71428571428572,381.07142857142856,244.28571428571428,0,2,12,0
243,301.6,234.4,402.1,250.4,0,1,9,0
244,279.5,271.0,393.5,264.5,0,2,0,0
245,,,,,0,0,0,0
246,268.3333333333333,261.0,390.0,256.0,0,3,0,0
247,,,,,0,0,0,0
248,265.5,261.0,386.5,256.5,0,2,0,0
249,272.5,264.1666666666667,387.5,260.3333333333333,0,6,0,0
250,276.1666666666667,260.3333333333333,389.8333333333333,257.5,0,6,0,0
251,276.90909090909093,261.1818181818182,391.1818181818182,257.54545454545456,1,10,0,0
252,277.55555555555554,260.1111111111111,392.0,255.0,0,9,0,0
253,,,,,0,0,0,0
254,,,,,0,0,0,0
255,,,,,0,0,0,0
256,,,,,0,0,0,0
257,,,,,0,0,0,0
258,,,,,0,0,0,0
259,,,,,0,0,0,0
260,,,,,0,0,0,0
261,,,,,0,0,0,0
262,,,,,0,0,0,0
263,296.5,280.0,404.0,275.0,2,0,0,0
264,,,,,0,0,0,0
265,324.5,287.5,432.0,278.0,1,0,1,0
266,327.06666666666666,288.8,433.8666666666667,281.0,1,8,6,0
267,323.53333333333336,289.0,432.06666666666666,281.6,0,10,5,0
268,319.5,290.35714285714283,428.64285714285717,282.2857142857143,0,9,5,0
269,320.93333333333334,292.6666666666667,430.1333333333333,284.8,0,14,1,0
270,318.26666666666665,294.1333333333333,428.1333333333333,286.53333333333336,0,15,0,0
271,317.93333333333334,294.3333333333333,427.53333333333336,286.8,2,7,6,0
272,317.8666666666667,291.4,425.6666666666667,284.06666666666666,3,9,3,0
273,318.625,284.875,421.75,277.25,6,0,2,0
274,313.875,226.625,411.0,249.625,1,3,4,0
275,310.6666666666667,288.53333333333336,415.6,280.1333333333333,14,1,0,0
276,303.46666666666664,291.8,408.8,282.0,14,0,1,0
277,305.7857142857143,291.14285714285717,410.14285714285717,282.0,13,1,0,0
278,303.3333333333333,289.73333333333335,407.6,280.0,13,0,2,0
279,295.26666666666665,291.93333333333334,400.93333333333334,280.0,0,0,15,0
280,295.46666666666664,293.0,400.6666666666667,281.0,0,4,11,0
281,284.3333333333333,289.0,396.44444444444446,278.8888888888889,0,8,1,0
282,268.5,279.0,387.5,273.0,0,1,1,0
283,,,,,0,0,0,0
284,,,,,0,0,0,0
285,259.0,286.0,405.0,269.0,0,1,0,0
286,262.6666666666667,287.6666666666667,383.3333333333333,279.0,0,3,0,0
287,263.25,287.75,381.25,280.25,0,4,0,0
288,265.0,289.0,381.5,284.5,0,2,0,0
289,,,,,0,0,0,0
290,264.0,289.9,382.0,283.7,0,10,0,0
291,264.2857142857143,291.2857142857143,381.85714285714283,284.57142857142856,0,7,0,0
292,262.5,291.0,382.0,285.5,0,2,0,0
293,261.1666666666667,291.8333333333333,380.0,287.1666666666667,0,6,0,0
294,262.9166666666667,294.0833333333333,380.8333333333333,287.6666666666667,0,12,0,0
295,255.5,295.5,376.0,288.5,0,2,0,0
296,,,,,0,0,0,0
297,,,,,0,0,0,0
298,,,,,0,0,0,0
299,,,,,0,0,0,0
300,,,,,0,0,0,0
301,,,,,0,0,0,0
302,294.0,284.3333333333333,408.0,280.0,0,3,0,0
303,,,,,0,0,0,0
304,297.6666666666667,282.5,411.3333333333333,278.1666666666667,0,3,3,0
305,,,,,0,0,0,0
306,319.0,290.0,418.0,282.0,1,0,0,0
307,,,,,0,0,0,0
308,,,,,0,0,0,0
309,,,,,0,0,0,0
310,,,,,0,0,0,0
311,,,,,0,0,0,0
312,321.2,286.4,423.0,279.2,5,0,0,0
313,317.2,270.6,403.2,266.6,5,0,0,0
314,,,,,0,0,0,0
315,,,,,0,0,0,0
316,330.3333333333333,240.83333333333334,404.3333333333333,252.0,3,0,3,0
317,259.3333333333333,289.0,338.6666666666667,279.3333333333333,3,2,1,0
318,196.6,278.8,268.0,266.0,0,2,3,0
319,,,,,0,0,0,0
320,,,,,0,0,0,0
321,,,,,0,0,0,0
322,,,,,0,0,0,0
323,,,,,0,0,0,0
324,,,,,0,0,0,0
325,,,,,0,0,0,0
326,,,,,0,0,0,0
327,,,,,0,0,0,0
328,,,,,0,0,0,0
329,,,,,0,0,0,0
330,,,,,0,0,0,0
331,,,,,0,0,0,0
332,,,,,0,0,0,0
333,,,,,0,0,0,0
334,,,,,0,0,0,0
335,,,,,0,0,0,0
336,373.8,307.8,471.6,305.4,2,3,0,0
337,,,,,0,0,0,0
338,,,,,0,0,0,0
339,,,,,0,0,0,0
340,,,,,0,0,0,0
341,347.25,321.125,436.375,317.25,4,3,1,0
342,,,,,0,0,0,0
343,299.2857142857143,209.64285714285714,378.2857142857143,214.21428571428572,11,1,2,0
344,325.625,210.0,405.625,216.5,4,2,2,0
345,,,,,0,0,0,0
346,295.5,184.33333333333334,384.5,203.33333333333334,0,0,6,0
347,325.875,229.625,433.625,231.125,3,1,4,0
348,329.0,308.44444444444446,442.0,300.6666666666667,4,3,2,0
349,343.0,311.25,453.5,301.25,0,2,2,0
350,345.375,333.625,449.125,323.625,0,8,0,0
351,,,,,0,0,0,0
352,346.0,268.0,453.0,295.0,0,1,0,0
353,,,,,0,0,0,0
354,,,,,0,0,0,0
355,,,,,0,0,0,0
356,,,,,0,0,0,0
357,333.0,289.0,446.0,309.0,0,0,1,0
358,339.4,280.2,447.2,299.2,0,0,5,0
359,331.7692307692308,278.53846153846155,438.0,289.46153846153845,0,3,10,0
360,339.3333333333333,282.8333333333333,446.1666666666667,295.5,0,1,5,0
361,,,,,0,0,0,0
362,,,,,0,0,0,0
363,,,,,0,0,0,0
364,,,,,0,0,0,0
365,,,,,0,0,0,0
366,,,,,0,0,0,0
367,,,,,0,0,0,0
368,,,,,0,0,0,0
369,,,,,0,0,0,0
370,,,,,0,0,0,0
371,336.0,336.3333333333333,450.3333333333333,326.0,0,3,0,0
372,334.0,337.875,446.875,327.75,0,8,0,0
373,336.8333333333333,338.0833333333333,449.0,328.5,1,6,5,0
374,332.5,337.5,447.5,328.4166666666667,1,8,3,0
375,336.25,338.8333333333333,449.0,329.6666666666667,0,9,3,0
376,339.5,339.0,451.0,330.1666666666667,0,1,5,0
377,339.14285714285717,339.92857142857144,451.7142857142857,331.07142857142856,0,1,13,0
378,345.2857142857143,341.7142857142857,458.57142857142856,334.5,0,10,4,0
