Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2)
1066.0,-0.031476813650000005,-0.047160905505,0.2208284499,0.22799971025
1067.0,-0.051216373465000006,-0.046509757015,0.21738964965000002,0.2281737592
1068.0,-0.048457348725,-0.039642132415,0.21911418365000002,0.2278856307
1069.0,-0.04852913318,-0.038025465605,0.21948525285,0.22798462949999998
1070.0,-0.03870887227,-0.046554730055,0.21973675775,0.22793549284999998
1071.0,-0.029797280750000002,-0.051671556265,0.21949645955000002,0.22746180430000001
1072.0,-0.031033369295000002,-0.052740885205000004,0.22049776235000002,0.2288560428
1073.0,-0.038090013320000005,-0.05234412636,0.21773046159999998,0.22716587235000002
1074.0,-0.041403705134999996,-0.051105703350000004,0.2169815776,0.22675797279999999
1075.0,-0.039986670190000004,-0.047279671715,0.2173087215,0.22597289345
1076.0,-0.04066869025,-0.047085319614999996,0.2176895196,0.22640873305
1077.0,-0.039051485420000004,-0.050146032795,0.21788253725,0.22697360830000002
1078.0,-0.046920159895,-0.040413567735,0.2188160408,0.22747041205000001
1079.0,-0.05413066968,-0.03471306339,0.2169560641,0.2262853507
1080.0,-0.04718304053,-0.037649529055,0.2198795378,0.22815667295
1081.0,-0.054414598486869505,-0.05199262151,0.20895844435,0.2302360833
1082.0,-0.05294161963,-0.03475610115,0.21559518875,0.22470698275
1083.0,-0.054329217634999996,-0.03818676847,0.2153526625,0.22539488400000002
1084.0,-0.056440831489999996,-0.037498407255000005,0.21574163035,0.22613803710000002
1085.0,-0.04988307503,-0.042811131495,0.2150940384,0.2249269121
1086.0,-0.04909896338,-0.050039816045000005,0.215749495,0.2268552042
1087.0,-0.050036207345,-0.04612057546,0.21658152349999998,0.22706569980000002
1088.0,-0.047382541125,-0.042473640355,0.2175393779,0.22669580235
1089.0,-0.04662802409,-0.04931585942,0.21492218494999998,0.2253993221
1090.0,-0.053387099630000004,-0.040765468215,0.21817625415,0.2298861388
1091.0,-0.04561657376,-0.044777955329999994,0.2158250506,0.225404985
1092.0,-0.053616586875,-0.0380566281,0.21788913765,0.22761198355
1093.0,-0.11702934222,-0.036992228775,0.24046247175,0.27344254455
1094.0,0.018897971370000002,-0.04480813457,0.2008822129,0.231052762
1095.0,-0.09835887035999999,-0.03779406255,0.2008977315,0.22845634415
1096.0,-0.040698913735,-0.036837114605,0.21784976095,0.2259575673
1097.0,-0.029629541555,-0.04515237969,0.22111637855,0.2279148378
1098.0,-0.061414700985,-0.039492364225,0.2163231463,0.22834441095000002
