Time (s),Event,PositionX,PositionY
1433.0,13,703.6736778846154,521.9200721153846
1434.0,13,751.3614783653846,532.2671274038462
1435.0,34,635.79296875,580.046875
1436.0,44,631.453125,581.90234375
1437.0,9,631.453125,581.90234375
1438.0,52,558.984375,489.02231069711536
1439.0,47,415.03016954787233,312.5420545212766
1440.0,48,297.0297037760417,201.65022786458334
1441.0,39,447.69961939102564,259.90234375
1442.0,53,727.480100235849,356.97634139150944
1443.0,20,776.69921875,341.9140625
1444.0,37,680.006862331081,359.18517736486484
1445.0,34,570.8794806985294,308.8568474264706
1446.0,18,597.9149305555555,352.6940104166667
1447.0,16,631.15625,412.79296875
1448.0,40,631.15625,412.79296875
1449.0,80,775.844287109375,346.856591796875
1450.0,47,821.9934341755319,338.64353390957444
1451.0,75,827.0130208333334,290.77458333333334
1452.0,101,744.6127784653465,468.5692682549505
1453.0,52,904.0072866586538,225.64362980769232
1454.0,71,1191.3773657570423,59.452904929577464
1455.0,32,968.96337890625,213.552001953125
1456.0,80,195.3701171875,567.586474609375
1457.0,19,99.48067434210526,522.9206414473684
1458.0,91,189.40972699175825,231.4903846153846
1459.0,76,1217.7336554276317,870.0286287006579
1460.0,21,975.3630952380952,722.4931175595239
1461.0,87,717.1945941091954,741.6151221264367
1462.0,42,285.5804501488095,347.7500930059524
1463.0,54,96.4777199074074,58.905526620370374
1464.0,17,260.2256433823529,142.67164522058823
1465.0,1,,
1466.0,1,,
1525.0,1,,
1560.0,1,,
1619.0,27,526.1796875,265.83058449074076
1620.0,1,,
1639.0,1,,
1657.0,1,,
1658.0,55,557.0336647727273,724.0184659090909
1659.0,83,1118.984986822289,886.2291980421687
1660.0,31,1251.1150453629032,672.0711945564516
1662.0,88,325.77237215909093,115.59787819602273
1663.0,57,46.98204495614035,37.91975054824562
1664.0,28,92.67173549107143,216.34123883928572
1665.0,59,45.695775953389834,514.8715572033898
1666.0,96,973.6005045572916,794.1349690755209
1667.0,24,1020.4422200520834,738.2080078125
1669.0,1,,
1670.0,1,,
1681.0,1,,
1706.0,1,,
1720.0,115,924.9283967391304,422.47302989130435
1722.0,56,816.7171456473214,418.6045619419643
1723.0,34,658.9412913602941,390.2645909926471
1724.0,1,,
1728.0,1,,
1745.0,1,,
1746.0,69,1060.2429800724638,705.2314877717391
1747.0,64,937.0912475585938,868.9805297851562
1748.0,81,168.51523919753086,864.6149209104939
1749.0,81,589.6352237654321,821.0228105709876
1750.0,4,701.060546875,771.64453125
1751.0,67,1217.5456506529852,731.0766091417911
1752.0,35,1164.9044642857143,726.02890625
1753.0,1,,
1754.0,1,,
