Time (s),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2)
390.0,-4.2613737905,-3.08368887,8.5117208965,10.006152573000001
391.0,-4.472316316000001,-3.163527382,8.3595316695,9.995981496999999
392.0,-4.278700878,-3.148389581,8.468491818,9.9967580465
393.0,-4.2820631365,-3.1430240845,8.4710481725,9.998672097
394.0,-4.2683846545,-3.138369209,8.4805342815,9.999397495
395.0,-4.2717756405,-3.1478219975,8.47357586,9.9979249895
396.0,-4.251415467499999,-3.131959263,8.4902017675,9.998361451000001
397.0,-4.2563041475,-3.124948361,8.4858664745,9.994568136000002
398.0,-4.2112959409999995,-3.0837937804999997,8.539926699999999,10.0087647795
399.0,-3.9993279179999996,-3.101025365,8.614127832,9.990885041999999
400.0,-4.053240326499999,-3.0211582065,8.625855581,9.998150165
401.0,-4.111955404,-2.950624659,8.626280072,10.00135697
402.0,-4.1168392115,-2.9437425279999996,8.6246823465,9.9999609945
403.0,-4.1153608550000005,-2.9736271035,8.6126302495,9.997823626
