"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
2.690643317E2,-1.495673493E2,1.588579908E2
2.695717450E2,-1.495406518E2,1.587288953E2
2.700791590E2,-1.495586451E2,1.587338260E2
2.705865729E2,-1.495670706E2,1.586780048E2
2.710939869E2,-1.495518670E2,1.587280042E2
2.716014006E2,-1.494813785E2,1.588018761E2
2.721088146E2,-1.494694507E2,1.587891172E2
2.726162277E2,-1.495280835E2,1.587252245E2
2.731236417E2,-1.494964719E2,1.586217330E2
2.736310557E2,-1.493685464E2,1.586536804E2
2.746458824E2,-1.492079778E2,1.590786125E2
2.751532964E2,-1.493151138E2,1.589828820E2
2.756607109E2,-1.493146650E2,1.589676802E2
2.761681249E2,-1.493093141E2,1.588905111E2
2.766755380E2,-1.492774954E2,1.589645597E2
2.771829520E2,-1.492415255E2,1.590824655E2
2.776903660E2,-1.492931389E2,1.589922608E2
2.781977810E2,-1.493184438E2,1.589562903E2
2.787051952E2,-1.493041031E2,1.589496704E2
2.792126092E2,-1.493339920E2,1.589685037E2
2.797200241E2,-1.492429816E2,1.590975095E2
2.802274386E2,-1.492796358E2,1.590311662E2
2.807348536E2,-1.493005832E2,1.589495114E2
2.812422667E2,-1.493148015E2,1.589187424E2
2.817496817E2,-1.493049869E2,1.588948655E2
2.822570975E2,-1.492852898E2,1.590303753E2
2.827645115E2,-1.492171005E2,1.590353172E2
2.832719266E2,-1.493336285E2,1.589989710E2
2.837793416E2,-1.493164464E2,1.589479128E2
2.842867559E2,-1.493118425E2,1.589304993E2
2.847941709E2,-1.493155142E2,1.589727598E2
2.853015869E2,-1.492667089E2,1.590963577E2
2.858090019E2,-1.492700422E2,1.590182275E2
2.863164177E2,-1.493066040E2,1.589314320E2
