"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
2.558715801E2,1.467650018E2,-1.204234070E2
2.563789935E2,1.469883677E2,-1.204841675E2
2.568864075E2,1.470238678E2,-1.204995997E2
2.573938208E2,1.467689986E2,-1.203636897E2
2.579012347E2,1.466399956E2,-1.203958003E2
2.584086474E2,1.466387198E2,-1.203874062E2
2.589160614E2,1.466446721E2,-1.203674779E2
2.594234744E2,1.469488672E2,-1.204772575E2
2.599308884E2,1.469809716E2,-1.205354082E2
2.604383012E2,1.468655621E2,-1.207561175E2
2.609457152E2,1.467949677E2,-1.206856082E2
2.614531281E2,1.466420818E2,-1.206955301E2
2.619605421E2,1.467077444E2,-1.206406976E2
2.624679550E2,1.469398269E2,-1.206811247E2
2.629753690E2,1.468178688E2,-1.207556689E2
2.634827829E2,1.466031657E2,-1.206883930E2
2.639901969E2,1.465595489E2,-1.205826688E2
2.644976091E2,1.464758407E2,-1.206729401E2
2.650050231E2,1.464379494E2,-1.206364557E2
2.655124365E2,1.466647693E2,-1.207239468E2
2.660198505E2,1.466477331E2,-1.206123496E2
2.665272631E2,1.465291490E2,-1.204824716E2
2.670346771E2,1.465557149E2,-1.204469866E2
2.675420910E2,1.465655879E2,-1.204260933E2
2.680495040E2,1.465575121E2,-1.204505206E2
2.685569187E2,1.467903302E2,-1.205377963E2
2.690643317E2,1.466441964E2,-1.204326507E2
2.695717450E2,1.464962913E2,-1.204593482E2
2.700791590E2,1.464840475E2,-1.204413549E2
2.705865729E2,1.463991659E2,-1.204329294E2
2.710939869E2,1.464832621E2,-1.204481329E2
2.716014006E2,1.466579980E2,-1.205186215E2
2.721088146E2,1.466531424E2,-1.205305493E2
2.726162277E2,1.465045306E2,-1.204719164E2
2.731236417E2,1.463971306E2,-1.205035281E2
2.736310557E2,1.465749726E2,-1.206314536E2
2.746458824E2,1.473197638E2,-1.207920222E2
2.751532964E2,1.470782712E2,-1.206848862E2
2.756607109E2,1.470580250E2,-1.206853349E2
2.761681249E2,1.469585384E2,-1.206906859E2
2.766755380E2,1.470924023E2,-1.207225045E2
2.771829520E2,1.472903257E2,-1.207584744E2
2.776903660E2,1.471138831E2,-1.207068611E2
2.781977810E2,1.470385793E2,-1.206815562E2
2.787051952E2,1.470444786E2,-1.206958969E2
2.792126092E2,1.470390432E2,-1.206660079E2
2.797200241E2,1.473093334E2,-1.207570184E2
2.802274386E2,1.471809152E2,-1.207203642E2
2.807348536E2,1.470479222E2,-1.206994168E2
2.812422667E2,1.469912418E2,-1.206851985E2
2.817496817E2,1.469689678E2,-1.206950131E2
2.822570975E2,1.471739723E2,-1.207147102E2
2.827645115E2,1.472513548E2,-1.207828995E2
2.832719266E2,1.470809525E2,-1.206663715E2
2.837793416E2,1.470292467E2,-1.206835535E2
2.842867559E2,1.470103259E2,-1.206881575E2
2.847941709E2,1.470640626E2,-1.206844858E2
2.853015869E2,1.472832101E2,-1.207332910E2
2.858090019E2,1.471732322E2,-1.207299578E2
2.863164177E2,1.470170461E2,-1.206933960E2
