Time (s),Inclination (deg),Rotation (deg)
463.0,23.76729232,-115.864503
464.0,23.795031245,-115.77839399999999
465.0,23.784766985,-115.8703853
466.0,23.765928885,-115.72999730000001
467.0,23.65177023,-115.90945740000001
468.0,23.6804565,-115.8308183
469.0,23.741497605,-115.83234345
470.0,23.733934740000002,-115.8839351
471.0,23.757145129999998,-115.7847067
472.0,23.71327105,-115.765056
473.0,23.738144075,-115.74414089999999
474.0,23.759983130000002,-115.69869965
475.0,23.78280277,-115.6049143
476.0,23.764446825,-115.66582325
477.0,23.77901807,-115.62903080000001
478.0,23.75011952,-115.71583989999999
479.0,23.64202116,-115.678981
480.0,23.73326226,-115.7167475
481.0,23.89872986,-115.5312897
482.0,23.779954855,-116.28849840000001
483.0,23.495249465,-116.1718489
484.0,23.51192983,-116.01105415
485.0,23.510144165,-115.96339465
486.0,23.42779057,-116.107272
487.0,23.04230476,-116.6454972
488.0,23.49119442,-116.0734946
489.0,22.922966889999998,-116.53723679999999
490.0,21.47495098,-115.81731225
491.0,23.060393805,-115.1824419
492.0,23.362608305,-115.1786618
493.0,24.86819005,-114.8023121
494.0,31.87085077,-111.17406625000001
495.0,44.969915854999996,-116.10858915
496.0,8.1966564765,-153.95423104999998
497.0,26.02268991,-46.71461567
498.0,50.99561519,-115.69204149999999
499.0,46.5717545,-119.81040915
500.0,40.47101116,-113.970539
501.0,40.238309415,-114.67728460000001
502.0,39.773870314999996,-115.19932025
503.0,39.689688204999996,-115.2760543
504.0,39.647618640000005,-115.2017001
505.0,39.615224575,-115.18588270000001
506.0,39.59925889,-115.2193274
507.0,39.567331859999996,-115.1632199
508.0,39.548043095,-115.2148306
509.0,39.53740946,-115.17938674999999
510.0,39.52872529,-115.1882804
511.0,39.513748695000004,-115.1912647
512.0,39.49498053,-115.1875626
513.0,39.476376125,-115.2023412
514.0,39.4848368,-115.18666540000001
515.0,39.49037822,-115.18902055000001
516.0,39.47820134,-115.1801676
517.0,39.47671375,-115.17606144999999
518.0,39.46687998,-115.2125249
519.0,39.461748985,-115.18585485
520.0,39.46084262,-115.1809572
521.0,39.447709035,-115.21452675
522.0,39.436627515,-115.19705214999999
523.0,39.17265636,-115.19320454999999
524.0,39.09162206,-115.0888937
525.0,39.161787335,-115.1074854
526.0,39.14500461,-115.1594728
527.0,39.131577455,-115.0801924
528.0,39.136350575,-115.0921762
529.0,39.121888264999995,-115.09941895
530.0,39.13717066,-115.0500057
531.0,39.120400495,-115.0883346
532.0,39.10268754,-115.0847479
533.0,39.119711385,-115.0615415
534.0,39.10908963,-115.10631935
535.0,39.10103478,-115.0745802
536.0,39.10363297,-115.0733629
