Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
378.0,-3.2556420815,-1.4555077220000001,9.3568218275,10.013382625
379.0,-3.2586515235,-1.4585171639999999,9.356764596000001,10.014746065
380.0,-3.2653142655,-1.4524219710000001,9.354689948,10.01409213
381.0,-3.2676416945,-1.4547732464999998,9.355743963,10.016176945000002
382.0,-3.2643604015000003,-1.4573391414999999,9.3548378055,10.014633934999999
383.0,-3.272635174,-1.4515682625,9.354050851,10.01576066
384.0,-3.266983528,-1.4524744335,9.355338571499999,10.015249845
385.0,-3.4897159144999996,-1.5958498985,9.298440306,10.059867585
386.0,-3.6784476805,-1.0504011476500001,9.166606591499999,9.935769699
387.0,-3.7611290349999997,-1.680575389,9.155516711,10.039863605
388.0,-3.895833543,-1.766071913,9.046228823,10.006839150000001
389.0,-3.870122095,-1.8997656575,9.040200399,10.015804
390.0,-3.784488837,-1.875308543,9.079823927,10.014108825000001
391.0,-3.7821184555,-1.8768776365,9.076895576999998,10.010850705
392.0,-3.7781789789999998,-1.87626239,9.075865381,10.00831433
393.0,-3.762068214,-1.8704247455,9.0802627045,10.005148120000001
394.0,-3.7179281724999997,-1.814652281,9.1181263635,10.012855165000001
395.0,-3.6755050039999997,-1.814924141,9.133702945,10.011385515
396.0,-3.670587833,-1.809353569,9.1357537835,10.010443859999999
397.0,-3.662422755,-1.808018166,9.1387775065,10.009973675
398.0,-3.6666006805,-1.805681198,9.138844287000001,10.011139935
399.0,-3.665022035,-1.8073027685,9.1389730615,10.010972435
400.0,-3.6653892729999997,-1.807374308,9.139402302499999,10.011511245000001
401.0,-3.654023971,-1.7994619815,9.1483877,10.014164615
402.0,-3.660046202,-1.7973238805,9.140653717500001,10.00891029
403.0,-3.6642684745,-1.797444555,9.1412957085,10.011055429999999
