Time,Event,Key/Button,PositionX,PositionY
2024-06-08 21:42:42, Mouse Move,,,1114,1068
2024-06-08 21:42:42, Mouse Move,,,1107,1068
2024-06-08 21:42:42, Mouse Move,,,1099,1069
2024-06-08 21:42:42, Mouse Move,,,1089,1069
2024-06-08 21:42:42, Mouse Move,,,1079,1069
2024-06-08 21:42:42, Mouse Move,,,1067,1069
2024-06-08 21:42:42, Mouse Move,,,1056,1069
2024-06-08 21:42:42, Mouse Move,,,1043,1069
2024-06-08 21:42:42, Mouse Move,,,1032,1069
2024-06-08 21:42:42, Mouse Move,,,1018,1069
2024-06-08 21:42:42, Mouse Move,,,1006,1069
2024-06-08 21:42:42, Mouse Move,,,994,1069
2024-06-08 21:42:42, Mouse Move,,,986,1069
2024-06-08 21:42:42, Mouse Move,,,979,1068
2024-06-08 21:42:42, Mouse Move,,,976,1068
2024-06-08 21:42:42, Mouse Move,,,972,1068
2024-06-08 21:42:42, Mouse Move,,,969,1068
2024-06-08 21:42:42, Mouse Move,,,967,1068
2024-06-08 21:42:42, Mouse Move,,,966,1068
2024-06-08 21:42:42, Mouse Move,,,963,1068
2024-06-08 21:42:42, Mouse Move,,,962,1068
2024-06-08 21:42:42, Mouse Move,,,961,1068
2024-06-08 21:42:42, Mouse Move,,,958,1068
2024-06-08 21:42:42, Mouse Move,,,957,1068
2024-06-08 21:42:42, Mouse Move,,,956,1068
2024-06-08 21:42:42, Mouse Move,,,953,1068
2024-06-08 21:42:42, Mouse Move,,,952,1068
2024-06-08 21:42:42, Mouse Move,,,949,1068
2024-06-08 21:42:42, Mouse Move,,,947,1068
2024-06-08 21:42:42, Mouse Move,,,944,1067
2024-06-08 21:42:42, Mouse Move,,,942,1067
2024-06-08 21:42:42, Mouse Move,,,938,1067
2024-06-08 21:42:43, Mouse Move,,,932,1067
2024-06-08 21:42:43, Mouse Move,,,926,1066
2024-06-08 21:42:43, Mouse Move,,,919,1066
2024-06-08 21:42:43, Mouse Move,,,916,1065
2024-06-08 21:42:43, Mouse Move,,,912,1065
2024-06-08 21:42:43, Mouse Move,,,909,1065
2024-06-08 21:42:43, Mouse Move,,,907,1065
2024-06-08 21:42:43, Mouse Move,,,906,1065
2024-06-08 21:42:43, Mouse Move,,,904,1065
2024-06-08 21:42:43, Mouse Move,,,903,1065
2024-06-08 21:42:43, Mouse Move,,,902,1065
2024-06-08 21:42:43, Mouse Move,,,901,1065
2024-06-08 21:42:43, Mouse Move,,,899,1065
2024-06-08 21:42:44, Mouse Move,,,900,1060
2024-06-08 21:42:44, Mouse Move,,,900,1053
2024-06-08 21:42:44, Mouse Move,,,901,1050
2024-06-08 21:42:44, Mouse Move,,,901,1047
2024-06-08 21:42:44, Mouse Move,,,901,1045
