"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
2.120029963E2,-1.584551605E1,-2.566700655E1
2.125031824E2,-1.589514985E1,-2.565930950E1
2.130047415E2,-1.592455558E1,-2.564657566E1
2.135064478E2,-1.585071656E1,-2.565897269E1
2.140080026E2,-1.584011324E1,-2.566737883E1
2.145095911E2,-1.583839316E1,-2.566280969E1
2.150104761E2,-1.588012936E1,-2.566617411E1
2.155105066E2,-1.592079963E1,-2.565700823E1
2.160116797E2,-1.586019267E1,-2.563558612E1
2.165127479E2,-1.581915445E1,-2.567659330E1
2.170140601E2,-1.580002494E1,-2.568055109E1
2.180168067E2,-1.586456201E1,-2.569378813E1
2.185184852E2,-1.589652874E1,-2.571826407E1
2.190200416E2,-1.585269931E1,-2.573047364E1
2.195207129E2,-1.581852671E1,-2.574261360E1
2.200222083E2,-1.580890612E1,-2.575322526E1
2.205237342E2,-1.586744342E1,-2.573530923E1
2.210237342E2,-1.592554562E1,-2.572045580E1
2.215250464E2,-1.584428472E1,-2.571951604E1
2.220266334E2,-1.582533107E1,-2.575187492E1
2.225278541E2,-1.583640375E1,-2.575106601E1
2.230286780E2,-1.584658056E1,-2.573366170E1
2.235300818E2,-1.591659785E1,-2.573665641E1
2.240316993E2,-1.586630730E1,-2.572284813E1
2.250333472E2,-1.583279321E1,-2.577886472E1
2.255333472E2,-1.585803923E1,-2.572213692E1
2.260341102E2,-1.598070079E1,-2.588281714E1
2.265356666E2,-1.594582537E1,-2.563469232E1
2.270372840E2,-1.598045220E1,-2.656838366E1
2.275382300E2,-1.621387878E1,-2.567920936E1
2.280396644E2,-1.615650187E1,-2.575842932E1
2.285397864E2,-1.621728643E1,-2.603851350E1
2.290413733E2,-1.621390030E1,-2.575468966E1
2.295429297E2,-1.617076136E1,-2.578308424E1
2.300443335E2,-1.608991941E1,-2.572462235E1
2.305455848E2,-1.612067919E1,-2.583585592E1
2.310472938E2,-1.613605647E1,-2.579360383E1
2.320501929E2,-1.612756866E1,-2.577166477E1
2.325520240E2,-1.610598984E1,-2.579956083E1
2.330521460E2,-1.609486544E1,-2.581217856E1
2.335534583E2,-1.618255983E1,-2.575037067E1
2.340548011E2,-1.623528259E1,-2.572429049E1
2.345558692E2,-1.614955821E1,-2.580120161E1
2.350570289E2,-1.612089544E1,-2.580644494E1
2.355583716E2,-1.613713795E1,-2.583987355E1
2.360599280E2,-1.614236645E1,-2.581509951E1
2.365615149E2,-1.626872670E1,-2.587273566E1
2.370631324E2,-1.644608512E1,-2.545609796E1
2.380656653E2,-1.601499754E1,-2.374636423E1
2.385667641E2,-1.584441475E1,-2.433298783E1
2.390682593E2,-1.541975547E1,-2.379166810E1
2.395696937E2,-1.544992601E1,-2.413125477E1
2.400715374E2,-1.516177338E1,-2.415006436E1
2.405718604E2,-1.560807358E1,-2.443037776E1
2.410736609E2,-1.564716811E1,-2.423229769E1
2.415751868E2,-1.586588987E1,-2.445550109E1
2.420760108E2,-1.581837760E1,-2.454121038E1
2.425769308E2,-1.591375330E1,-2.466891316E1
2.430776893E2,-1.558771985E1,-2.423849631E1
2.435789405E2,-1.575875307E1,-2.438384592E1
2.445809241E2,-1.582167281E1,-2.449767077E1
2.450819900E2,-1.583319648E1,-2.456824873E1
2.455827559E2,-1.582273022E1,-2.459135221E1
2.460834589E2,-1.588648922E1,-2.460634341E1
2.465846139E2,-1.590168173E1,-2.459700897E1
2.470856210E2,-1.584935370E1,-2.461806229E1
2.475868112E2,-1.581926015E1,-2.465811444E1
2.480883676E2,-1.582492130E1,-2.466361054E1
2.485886117E2,-1.588587075E1,-2.466787362E1
2.490896188E2,-1.587596448E1,-2.466509576E1
2.495905649E2,-1.585014202E1,-2.471906141E1
2.500919687E2,-1.584198326E1,-2.467896254E1
2.505927621E2,-1.579399655E1,-2.469817718E1
2.510930673E2,-1.581879924E1,-2.471567777E1
2.520950808E2,-1.582670317E1,-2.472646960E1
2.525959963E2,-1.583850109E1,-2.472883979E1
2.530963930E2,-1.582989621E1,-2.473139358E1
2.535966066E2,-1.583668958E1,-2.473893216E1
2.540974611E2,-1.583013355E1,-2.472453958E1
2.545981325E2,-1.591319827E1,-2.471632045E1
2.550983156E2,-1.589866637E1,-2.472528624E1
2.555992617E2,-1.583505768E1,-2.471039732E1
2.561003298E2,-1.583454484E1,-2.473492502E1
2.566007570E2,-1.582954358E1,-2.473345510E1
2.571013674E2,-1.585671868E1,-2.468656085E1
2.576027102E2,-1.591613007E1,-2.469059598E1
2.586037478E2,-1.581198523E1,-2.471346361E1
2.591052736E2,-1.582038014E1,-2.470657331E1
2.596065249E2,-1.586175281E1,-2.470396604E1
2.601074099E2,-1.590138235E1,-2.469306745E1
